Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2022 13:47:13,System.Runtime,CPU Usage (%),Metric,0
07/20/2022 13:47:15,System.Runtime,Working Set (MB),Metric,76
07/20/2022 13:47:15,System.Runtime,GC Heap Size (MB),Metric,9
07/20/2022 13:47:15,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:15,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:15,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:15,System.Runtime,ThreadPool Thread Count,Metric,6
07/20/2022 13:47:15,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,1
07/20/2022 13:47:15,System.Runtime,ThreadPool Queue Length,Metric,0
07/20/2022 13:47:15,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,8
07/20/2022 13:47:15,System.Runtime,Allocation Rate (B / 1 sec),Rate,81336
07/20/2022 13:47:15,System.Runtime,Number of Active Timers,Metric,0
07/20/2022 13:47:15,System.Runtime,GC Fragmentation (%),Metric,NaN
07/20/2022 13:47:15,System.Runtime,Exception Count (Count / 1 sec),Rate,0
07/20/2022 13:47:15,System.Runtime,% Time in GC since last GC (%),Metric,0
07/20/2022 13:47:15,System.Runtime,Gen 0 Size (B),Metric,0
07/20/2022 13:47:15,System.Runtime,Gen 1 Size (B),Metric,0
07/20/2022 13:47:15,System.Runtime,Gen 2 Size (B),Metric,0
07/20/2022 13:47:15,System.Runtime,LOH Size (B),Metric,0
07/20/2022 13:47:15,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
07/20/2022 13:47:15,System.Runtime,Number of Assemblies Loaded,Metric,142
07/20/2022 13:47:15,System.Runtime,IL Bytes Jitted (B),Metric,301283
07/20/2022 13:47:15,System.Runtime,Number of Methods Jitted,Metric,3378
07/20/2022 13:47:15,System.Runtime,CPU Usage (%),Metric,0
07/20/2022 13:47:16,System.Runtime,Working Set (MB),Metric,76
07/20/2022 13:47:16,System.Runtime,GC Heap Size (MB),Metric,9
07/20/2022 13:47:16,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:16,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:16,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:16,System.Runtime,ThreadPool Thread Count,Metric,6
07/20/2022 13:47:16,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
07/20/2022 13:47:16,System.Runtime,ThreadPool Queue Length,Metric,0
07/20/2022 13:47:16,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,8
07/20/2022 13:47:16,System.Runtime,Allocation Rate (B / 1 sec),Rate,32672
07/20/2022 13:47:16,System.Runtime,Number of Active Timers,Metric,0
07/20/2022 13:47:16,System.Runtime,GC Fragmentation (%),Metric,NaN
07/20/2022 13:47:16,System.Runtime,Exception Count (Count / 1 sec),Rate,0
07/20/2022 13:47:16,System.Runtime,% Time in GC since last GC (%),Metric,0
07/20/2022 13:47:16,System.Runtime,Gen 0 Size (B),Metric,0
07/20/2022 13:47:16,System.Runtime,Gen 1 Size (B),Metric,0
07/20/2022 13:47:16,System.Runtime,Gen 2 Size (B),Metric,0
07/20/2022 13:47:16,System.Runtime,LOH Size (B),Metric,0
07/20/2022 13:47:16,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
07/20/2022 13:47:16,System.Runtime,Number of Assemblies Loaded,Metric,142
07/20/2022 13:47:16,System.Runtime,IL Bytes Jitted (B),Metric,302749
07/20/2022 13:47:16,System.Runtime,Number of Methods Jitted,Metric,3388
07/20/2022 13:47:16,System.Runtime,CPU Usage (%),Metric,0
07/20/2022 13:47:17,System.Runtime,Working Set (MB),Metric,76
07/20/2022 13:47:17,System.Runtime,GC Heap Size (MB),Metric,9
07/20/2022 13:47:17,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Thread Count,Metric,6
07/20/2022 13:47:17,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Queue Length,Metric,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,7
07/20/2022 13:47:17,System.Runtime,Allocation Rate (B / 1 sec),Rate,32672
07/20/2022 13:47:17,System.Runtime,Number of Active Timers,Metric,0
07/20/2022 13:47:17,System.Runtime,GC Fragmentation (%),Metric,NaN
07/20/2022 13:47:17,System.Runtime,Exception Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,% Time in GC since last GC (%),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 0 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 1 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 2 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,LOH Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Number of Assemblies Loaded,Metric,142
07/20/2022 13:47:17,System.Runtime,IL Bytes Jitted (B),Metric,303851
07/20/2022 13:47:17,System.Runtime,Number of Methods Jitted,Metric,3405
07/20/2022 13:47:17,System.Runtime,CPU Usage (%),Metric,0
07/20/2022 13:47:17,System.Runtime,Working Set (MB),Metric,76
07/20/2022 13:47:17,System.Runtime,GC Heap Size (MB),Metric,9
07/20/2022 13:47:17,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Thread Count,Metric,6
07/20/2022 13:47:17,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Queue Length,Metric,0
07/20/2022 13:47:17,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,7
07/20/2022 13:47:17,System.Runtime,Allocation Rate (B / 1 sec),Rate,28480
07/20/2022 13:47:17,System.Runtime,Number of Active Timers,Metric,0
07/20/2022 13:47:17,System.Runtime,GC Fragmentation (%),Metric,NaN
07/20/2022 13:47:17,System.Runtime,Exception Count (Count / 1 sec),Rate,0
07/20/2022 13:47:17,System.Runtime,% Time in GC since last GC (%),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 0 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 1 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Gen 2 Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,LOH Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
07/20/2022 13:47:17,System.Runtime,Number of Assemblies Loaded,Metric,142
07/20/2022 13:47:17,System.Runtime,IL Bytes Jitted (B),Metric,306424
07/20/2022 13:47:17,System.Runtime,Number of Methods Jitted,Metric,3441
07/20/2022 13:47:17,System.Runtime,CPU Usage (%),Metric,2
07/20/2022 13:47:17,System.Runtime,Working Set (MB),Metric,76
07/20/2022 13:47:17,System.Runtime,GC Heap Size (MB),Metric,9
