Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
31.1.2025 11.30.15,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.15,System.Runtime,Working Set (MB),Metric,36
31.1.2025 11.30.15,System.Runtime,GC Heap Size (MB),Metric,2
31.1.2025 11.30.15,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.15,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.15,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.15,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.15,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.15,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.15,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,10
31.1.2025 11.30.15,System.Runtime,Allocation Rate (B / 1 sec),Rate,1404896
31.1.2025 11.30.15,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.15,System.Runtime,GC Fragmentation (%),Metric,0.12258121005165923
31.1.2025 11.30.15,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.15,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.15,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.15,System.Runtime,Gen 1 Size (B),Metric,18208
31.1.2025 11.30.15,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.15,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.15,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,39976
31.1.2025 11.30.15,System.Runtime,Number of Assemblies Loaded,Metric,111
31.1.2025 11.30.15,System.Runtime,IL Bytes Jitted (B),Metric,55215
31.1.2025 11.30.15,System.Runtime,Number of Methods Jitted,Metric,724
31.1.2025 11.30.16,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.17,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.16,System.Runtime,Working Set (MB),Metric,37
31.1.2025 11.30.16,System.Runtime,GC Heap Size (MB),Metric,3
31.1.2025 11.30.16,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.16,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.16,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.16,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.16,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.16,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.16,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.16,System.Runtime,Allocation Rate (B / 1 sec),Rate,1363992
31.1.2025 11.30.16,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.16,System.Runtime,GC Fragmentation (%),Metric,0.12258121005165923
31.1.2025 11.30.16,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.16,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.16,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.16,System.Runtime,Gen 1 Size (B),Metric,18208
31.1.2025 11.30.16,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.16,System.Runtime,LOH Size (B),Metric,24
